,qid,question,options,answer,correct_option,format,rule,response_option
0,15587,"Pharmacological effects related to danazol following description, what's wrong?","{'0': 'By one kind of synthetic testosterone (testerone)', '1': 'Mainly for endometriosis (superficial evils) and benign fibrocystic breast (fibrocystic breast', '2': 'Synthetic aromatic ring-converting enzyme inhibitory activity (the aromatase), thereby inhibiting estrogen', '3': 'Hepatotoxicity'}","Synthetic aromatic ring-converting enzyme inhibitory activity (the aromatase), thereby inhibiting estrogen",2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'danazol', 'R3': 'leads to', 'B': 'inhibition of estrogen'},
    },
}
```",Rule1,2
1,15599,Most common cause of recurrent laryngeal nerve palsy is:,"{'0': 'Bronchogenic carcinoma', '1': 'Thyroid surgery', '2': 'Mediastinal tumors', '3': 'Pancoast tumor'}",Thyroid surgery,1,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Bronchogenic carcinoma', 'R3': 'leads to', 'B': 'recurrent laryngeal nerve palsy'},
    },
}
```",Rule1,0
2,15649,A 34-year-old man comes to the physician because of frequent headaches and blurry vision during the past 4 months. He has also had difficulties achieving an erection over the past few weeks. Physical examination shows a temporal visual field deficit bilaterally. An MRI of the brain shows an intrasellar mass. The mass is most likely derived from which of the following types of cells?,"{'0': 'Thyrotrophs', '1': 'Lactotrophs', '2': 'Somatotrophs', '3': 'Gonadotrophs'}",Lactotrophs,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Intrasellar mass', 'R3': 'leads to', 'B': 'Lactotrophs'},
    },
}
```",Rule1,1
3,15674,"A 23-year-old woman because of nausea and vomiting treatment. Patients currently 11th week of pregnancy, is the first pregnancy. No significant history of disease. A month before had the first prenatal visit, at no particular anomalies. She referred to recent two weeks, have a daily morning nausea phenomenon. Physical examination blood pressure 110/70 mmHg, pulse 84 / min, and other pharmacologically pelvic examination were normal, lower extremity edema. Weight 56.6 kg, compared to a year ago increased by 1.5 kg. The following initial management than what's inappropriate?","{'0': 'The patient stated that this is a self-limiting (self-limited) issues should be observed track, if necessary, further examination', '1': 'Advise patients to smaller meals', '2': 'Avoid contact with fumes', '3': 'Giving antiemetics'}",Giving antiemetics,3,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Nausea and vomiting', 'R3': 'leads to', 'B': 'self-limiting issue'},
    },
}
```",Rule1,0
4,15687,"A 6-year-old boy is brought to the physician because of abdominal distention, fatigue, and night sweats over the past 4 months. He also has a 2-month history of post-prandial fullness and recurrent nonbilious vomiting. He appears pale. Abdominal examination shows hepatosplenomegaly and shifting dullness; there is mild tenderness to palpation. Examination of the skin shows multiple nonblanching maculae. A CT scan of the abdomen shows mesenteric and retroperitoneal lymph node enlargement and nodular thickening of the omentum. A photomicrograph of a biopsy specimen from an enlarged mesenteric lymph node is shown. Immunohistochemical staining of the Ki-67 nuclear antigen shows that the proliferation index of the specimen is > 99%. The structure indicated by the arrows is most likely which of the following?","{'0': 'Neutrophil', '1': 'Human immunodeficiency virus', '2': 'B lymphocytes', '3': 'Macrophage'}",Macrophage,3,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Ki-67 nuclear antigen proliferation index > 99%', 'R3': 'leads to', 'B': 'B lymphocytes'},
    },
}
```",Rule1,2
5,15743,"Question linked to image nº29 A ​​35-year-old woman with a 2-week history of headache, hypothyroidism and a body mass index of 30 with the following fundus image. Which of the following is the LEAST probable finding that we can find?","{'0': 'Decreased visual acuity (0.1) in both eyes.', '1': 'Campimetry with increased blind spot and nasal defects.', '2': 'Brain Magnetic Resonance without significant alterations.', '3': 'Composition of cerebrospinal fluid within the limits of normality.'}",Decreased visual acuity (0.1) in both eyes.,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Hypothyroidism', 'R3': 'leads to', 'B': 'Decreased visual acuity'},
    },
}
```",Rule1,0
6,15755,HOX gene is associated with,"{'0': 'Cranio-caudal development', '1': 'Brain development', '2': 'Teeth formation', '3': 'All of the above'}",Cranio-caudal development,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'HOX gene', 'R10': 'associated with', 'B': 'Cranio-caudal development'},
    },
}
```",Rule1,0
7,15797,"A 19-year-old college girl, because of the huge pelvic tumor underwent surgery, found a left ovarian immature teratoma (immature teratoma), about her prognosis factor:","{'0': 'amount of undifferentiated neural tissue', '1': 'degree of glandular differentiation', '2': 'presence of solid parts more than cystic parts', '3': 'presence of sexual pseudoprecocity'}",amount of undifferentiated neural tissue,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'immature teratoma', 'R3': 'leads to', 'B': 'amount of undifferentiated neural tissue'},
    },
}
```",Rule1,0
8,15798,"Mutations in the ATP2A1 gene results in loss of function of the calcium ATPase pump, which is in the sarcoplasmic reticulum membranes of skeletal muscle in humans. This mutation results in a rare disease characterized by muscle cramping and stiffening that is usually most severe after exercise or strenuous activity and is typically relieved after affected individuals rest for a few minutes. Which of the following is expected in individuals with an ATP2A1 gene mutation?","{'0': 'Muscle relaxation time: decreased, cytosolic calcium concentration: increased', '1': 'Muscle relaxation time: increased, cytosolic calcium concentration: increased', '2': 'Muscle relaxation time: increased, cytosolic calcium concentration: no change', '3': 'Muscle relaxation time: no change, cytosolic calcium concentration: decreased'}","Muscle relaxation time: increased, cytosolic calcium concentration: increased",1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Mutations in the ATP2A1 gene', 'R3': 'results in', 'B': 'increased muscle relaxation time and increased cytosolic calcium concentration'},
    },
}
```",Rule1,1
9,15811,Maximum thermic effect of food is seen with,"{'0': 'Carbohydrates', '1': 'Protein', '2': 'Fat', '3': 'Not dependent on macronutrients'}",Protein,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Protein', 'R3': 'leads to', 'B': 'maximum thermic effect of food'},
    },
}
```",Rule1,1
